Date	Person	Block	Plot_Nr	VIP_(1)	Species	original_species_in_non_VIP	%weeded	Comments
20200729	Cecile	1	61	0	Ao		0	
20200729	Cecile	1	61	0	Dg	1	0	
20200729	Cecile	1	61	0	Fr		0	
20200729	Cecile	1	61	0	Hl	1	30	
20200729	Cecile	1	61	0	Lp	1	0	
20200729	Cecile	1	61	0	Pt	1	1	
20200729	Cecile	1	61	0	Am		0	
20200729	Cecile	1	61	0	Cj		0	
20200729	Cecile	1	61	0	Cb		0	
20200729	Cecile	1	61	0	To	1	4	
20200729	Cecile	1	61	0	Dc		0	
20200729	Cecile	1	61	0	Hs	1	0	
20200729	Cecile	1	61	0	As	1	0	
20200729	Cecile	1	61	0	Sp		0	
